Space Room,,,,,,,
Contractor Construction,,,,,,,
,Demolition,,,,,,
,,Bathroom,,,,,
,,,Sink,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Toilet,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Walls,,,,
,,,,4 x Man Hours,$50.00 ,,
,,,,TOTAL,$50.00 ,,
,,,Plug Drains,,,,
,,,,3 in. Gripper Plastic Mechanical Test Plug,$5.57 ,,
,,,,1 x Man Hours,$12.50 ,,
,,,4 x Man Hours,$50.00 ,,,
,,,TOTAL,"$3,507.77 ",,,
,,Paint,,,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$12.50 ,,,
,,TOTAL,"$4,125.19 ",,,,
,Infinity Mirrors,,,,,,
,,Frame,,,,,
,,,BDF S05 Window Film Daytime Privacy One Way Mirror Silver,$39.99 ,,,
,,,Havana Pieced Mirror Black 24x24 - Opalhouse,$49.99 ,,,
,,,24 in. x 3/4 in. x 24 in. Plain Expanded Metal Sheet,$19.97 ,,,
,,,36 in. x 72 in. x .220 in. Acrylic Sheet,$136.00 ,,,
,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,4 x Man Hours,$50.00 ,,,
,,,TOTAL,$298.69 ,,,
,,Electrical,,,,,
,,,TBI Pro 32.8ft 300LEDs SMD 5050 RGB,$34.64 ,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$59.64 ,,,
,,Paint,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,Grate,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,Step Indicator,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,TOTAL,$433.33 ,,,,
,Start Chart Poster,,,,,,
,,56 x 34.6 in Poster,$100.00 ,,,,
,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,,
,,48 in. x 96 in. x 1/8 in. Clear Acrylic Sheet,$118.00 ,,,,
,,0 x Man Hours,$0.00 ,,,,
,,TOTAL,$219.82 ,,,,
,Window,,,,,,
,,Frame,,,,,
,,,VideoSecu ML531BE TV Wall Mount for Most 27-55 LED,$25.00 ,,,
,,,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV,$329.99 ,,,
