Space Room,,,,,,,,Notes on how to cut cost
,Contractor Construction,,,,,,,
,,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$65.24 ,,,
,,,Electrical,,,,,
,,,,TBI Pro 32.8ft 300LEDs SMD 5050 RGB,$34.64 ,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,ARDUINO UNO R3,$20.45 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$150.07 ,,,
,,,Paint,,,,,
,,,,Ultra Pure White Eggshell Behr Paint,$29.98 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$67.48 ,,,
,,,TOTAL,$515.28 ,,,,
,,Captian's Computer,,,,,,
,,,Code Computer,,,,,
,,,,20 x Man Hours,$250.00 ,,,
,,,,TOTAL,$250.00 ,,,
,,,Stand,,,,,
,,,,12.9-inch iPad Pro 3rd Gen Light Grey Enclosure w. Permanent Fixed Glass Mount,$148.47 ,,,
,,,,VIVO Black Sit-Stand Wall Mount,$99.99 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$273.46 ,,,
,,,Projected Keyboard,,,,,
,,,,AGS Wireless Laser Projection Bluetooth Virtual Keyboard for Iphone,$35.99 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$73.49 ,,,
,,,Install,,,,,
,,,,12.9-inch iPad Pro,$999.00 ,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,"$1,011.50 ",,,
,,,TOTAL,"$1,608.45 ",,,,
,,iPads,,,,,,"We could chang this to physical switches rather then digital switches. This would cut the cost down $3000, but would be less futuristic."
,,,Code,,,,,
,,,,20 x Man Hours,$250.00 ,,,
,,,,TOTAL,$250.00 ,,,
,,,Install,,,,,
,,,,3 x 12.9-inch iPad Pro 3rd Gen Light Grey Enclosure w. Permanent Fixed Glass Mount,$445.41 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$470.41 ,,,
,,,3 x 12.9-inch iPad Pro,"$2,997.00 ",,,,
,,,TOTAL,"$3,717.41 ",,,,
,,Seats,,,,,,"We could probably get away without these. It will make it look more realistic, but people would probably only use it for the last puzzle in the game (the bomb core thing) and even then they could just stand."
,,,2 x Wise 8WD015-3-710 Standard Pilot Chair with Cushions and Mounting Plate,189.98,,,,
,,,2 x attwood Corporation Economy Pedestal Adj 11.5-17.5,$54.00 ,,,,
,,,2 x attwood 17720 Boat Seat Swivel,$15.92 ,,,,
,,,2 x Man Hours,$25.00 ,,,,
,,,TOTAL,$284.90 ,,,,
,,Hologram,,,,,,
,,,Timer,,,,,
,,,,10 x Man Hours,$125.00 ,,,
,,,,TOTAL,$125.00 ,,,
,,,Videos,,,,,
,,,,20 x Man Hours,$250.00 ,,,
,,,,TOTAL,$250.00 ,,,
,,,Frame,,,,,
,,,,2 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$5.48 ,,,
,,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,,VideoSecu ML531BE TV Wall Mount for Most 27-55 LED,$25.00 ,,,
,,,,36 in. x 72 in. x .220 in. Acrylic Sheet,$136.00 ,,,
,,,,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV,$329.99 ,,,
,,,,6 x Man Hours,$75.00 ,,,
,,,,TOTAL,$607.42 ,,,
,,,Paint,,,,,
,,,,Ultra Pure White Eggshell Behr Paint,$29.98 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$54.98 ,,,
,,,Controller,,,,,
,,,,4K HDMI Cable 25ft-HDMI 2.0,$28.99 ,,,
,,,,15 x Man Hours,$187.50 ,,,
,,,,TOTAL,$216.49 ,,,
,,,TOTAL,"$1,253.89 ",,,,
,,FerroFluid Alien,,,,,,"Really cool astetic, but no actual use in the room."
,,,Waterproof,,,,,
,,,,Greenhouse Plastic Film Clear Polyethylene Cover,$42.26 ,,,
,,,,Ultra Clear 5 oz. All Purpose Waterproof Sealant,$6.98 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$99.24 ,,,
,,,Install,,,,,
,,,,Sisyphus Table,"$1,299.00 ",,,
,,,,4 x 1 in. x 96 in. Aluminum Angle with 1/16 in. Thick,$42.12 ,,,
,,,,48 in. x 96 in. x 1/8 in. Clear Acrylic Sheet,$118.00 ,,,
,,,,Ferrotec Magnetic Ferrofluid 4 oz,$34.94 ,,,
,,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,"$1,508.38 ",,,
,,,TOTAL,"$1,607.62 ",,,,
,,Moon,,,,,,"This is a moon that floats an inch or so off the ground. Again, cool astetic, but no actual use."
,,,4 x 1 in. x 96 in. Aluminum Angle with 1/16 in. Thick,$42.12 ,,,,
,,,LEVILUNA 7.1''/18cm 3D Magnetic Levitate Moon lamp,$180.99 ,,,,
,,,48 in. x 96 in. x 1/8 in. Clear Acrylic Sheet,$118.00 ,,,,
,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,,
,,,1 x Man Hours,$12.50 ,,,,
,,,TOTAL,$355.43 ,,,,
,,Hatch Entrance,,,,,,Although I like the idea of climbing into the room like you would climb into a space ship. We could go to only using the teleportation dark room door and remove this.
,,,Cut Hole,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Frame,,,,,
,,,,36 in. x 36 in. Plain Aluminum Sheet in Silver,$21.98 ,,,
,,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$123.17 ,,,
,,,Paint,,,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$37.50 ,,,
,,,Door,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Lock,,,,,
,,,,Electromagnetic Lock Kit,$164.85 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$214.85 ,,,
,,,Ladder,,,,,
,,,,Extreme-Corrosion-Resistant Wall-Mount Ladder,$979.36 ,,,
,,,,3/8 in. x 5 in. Powerlag Hex Drive Washer Head High Corrosion Resistant Coating Lag Screw,$1.70 ,,,
